captured_at,date,event_id,event_name,start_time_utc,home_team,away_team,market,side,line,odds
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608984,SF Giants @ PIT Pirates,2026-09-03T16:45:00.0000000Z,PIT,SF,Moneyline,SF Giants,,+136
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608984,SF Giants @ PIT Pirates,2026-09-03T16:45:00.0000000Z,PIT,SF,Moneyline,PIT Pirates,,-164
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608984,SF Giants @ PIT Pirates,2026-09-03T16:45:00.0000000Z,PIT,SF,Run Line,SF Giants,1.5,-155
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608984,SF Giants @ PIT Pirates,2026-09-03T16:45:00.0000000Z,PIT,SF,Run Line,PIT Pirates,-1.5,+128
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608984,SF Giants @ PIT Pirates,2026-09-03T16:45:00.0000000Z,PIT,SF,Total,Over,9,-101
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608984,SF Giants @ PIT Pirates,2026-09-03T16:45:00.0000000Z,PIT,SF,Total,Under,9,-119
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608985,TOR Blue Jays @ CLE Guardians,2026-09-03T17:10:00.0000000Z,CLE,TOR,Moneyline,TOR Blue Jays,,-112
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608985,TOR Blue Jays @ CLE Guardians,2026-09-03T17:10:00.0000000Z,CLE,TOR,Moneyline,CLE Guardians,,-107
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608985,TOR Blue Jays @ CLE Guardians,2026-09-03T17:10:00.0000000Z,CLE,TOR,Run Line,TOR Blue Jays,-1.5,+153
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608985,TOR Blue Jays @ CLE Guardians,2026-09-03T17:10:00.0000000Z,CLE,TOR,Run Line,CLE Guardians,1.5,-186
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608985,TOR Blue Jays @ CLE Guardians,2026-09-03T17:10:00.0000000Z,CLE,TOR,Total,Over,8,-103
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608985,TOR Blue Jays @ CLE Guardians,2026-09-03T17:10:00.0000000Z,CLE,TOR,Total,Under,8,-117
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608987,CHI White Sox @ HOU Astros,2026-09-03T18:10:00.0000000Z,HOU,CWS,Moneyline,CHI White Sox,,+134
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608987,CHI White Sox @ HOU Astros,2026-09-03T18:10:00.0000000Z,HOU,CWS,Moneyline,HOU Astros,,-163
2026-09-03T13:01:13.162501+00:00,2026-09-03,34608987,CHI White Sox @ HOU Astros,2026-09-03T18:10:00.0000000Z,HOU,CWS,Run Line,CHI White Sox,1.5,-156
