captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-09-03T16:16:21.998498+00:00,2026-09-03,Blade Tidwell,SF,4.5,+100,-128,34608984,2026-09-03T16:45:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Lake Bachar,PIT,2.5,+132,-169,34608984,2026-09-03T16:45:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Tanner Bibee,CLE,4.5,+129,-165,34608985,2026-09-03T17:10:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Jose Soriano,TOR,3.5,-160,+125,34608985,2026-09-03T17:10:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Hunter Brown,HOU,6.5,+103,-131,34608987,2026-09-03T18:10:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Luis Castillo,CWS,4.5,+105,-133,34608987,2026-09-03T18:10:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Jake Bennett,BOS,4.5,-165,+129,34608988,2026-09-03T23:15:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Brandon Young,BAL,4.5,+122,-157,34608988,2026-09-03T23:15:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Logan Henderson,MIL,5.5,-116,-110,34608989,2026-09-03T23:15:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Kevin Gausman,CHC,5.5,-103,-124,34608989,2026-09-03T23:15:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Michael Wacha,KC,4.5,-144,+113,34608990,2026-09-03T23:40:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Shane McClanahan,TB,4.5,-128,+100,34608991,2026-09-04T00:05:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Cal Quantrill,TEX,3.5,+109,-140,34608991,2026-09-04T00:05:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Kade Anderson,SEA,5.5,-124,-103,34608992,2026-09-04T01:40:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Jack Perkins,OAK,5.5,+105,-134,34608992,2026-09-04T01:40:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Tarik Skubal,LAD,8.5,+121,-155,34608993,2026-09-04T02:10:00.0000000Z
2026-09-03T16:16:21.998498+00:00,2026-09-03,Quinn Mathews,STL,4.5,-111,-115,34608993,2026-09-04T02:10:00.0000000Z
