captured_at,date,pitcher_name,team,milestone,odds,event_id,start_time_utc
2026-08-29T16:16:16.771091+00:00,2026-08-29,Carlos Rodon,NYY,3,-1420,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Carlos Rodon,NYY,4,-448,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Carlos Rodon,NYY,5,-177,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Carlos Rodon,NYY,6,+126,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Carlos Rodon,NYY,7,+272,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Carlos Rodon,NYY,8,+600,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Carlos Rodon,NYY,9,+1300,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jake Bennett,BOS,3,-910,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jake Bennett,BOS,4,-306,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jake Bennett,BOS,5,-127,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jake Bennett,BOS,6,+176,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jake Bennett,BOS,7,+381,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jake Bennett,BOS,8,+810,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jake Bennett,BOS,9,+1660,34586004,2026-08-29T17:05:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Blake Snell,LAD,4,-1480,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Blake Snell,LAD,5,-566,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Blake Snell,LAD,6,-257,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Blake Snell,LAD,7,-128,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Blake Snell,LAD,8,+154,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Blake Snell,LAD,9,+290,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Blake Snell,LAD,10,+560,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Blake Snell,LAD,11,+1040,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Keider Montero,DET,2,-970,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Keider Montero,DET,3,-275,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Keider Montero,DET,4,-107,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Keider Montero,DET,5,+218,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Keider Montero,DET,6,+504,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Keider Montero,DET,7,+1100,34586005,2026-08-29T17:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Bailey Ober,MIN,2,-2700,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Bailey Ober,MIN,3,-581,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Bailey Ober,MIN,4,-207,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Bailey Ober,MIN,5,+115,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Bailey Ober,MIN,6,+257,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Bailey Ober,MIN,7,+559,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Bailey Ober,MIN,8,+1260,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Erick Fedde,CWS,1,-2200,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Erick Fedde,CWS,2,-358,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Erick Fedde,CWS,3,-117,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Erick Fedde,CWS,4,+222,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Erick Fedde,CWS,5,+543,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Erick Fedde,CWS,6,+1360,34586006,2026-08-29T18:10:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kyle Leahy,STL,2,-1100,34586007,2026-08-29T18:15:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kyle Leahy,STL,3,-332,34586007,2026-08-29T18:15:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kyle Leahy,STL,4,-135,34586007,2026-08-29T18:15:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kyle Leahy,STL,5,+162,34586007,2026-08-29T18:15:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kyle Leahy,STL,6,+335,34586007,2026-08-29T18:15:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kyle Leahy,STL,7,+700,34586007,2026-08-29T18:15:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kyle Leahy,STL,8,+1400,34586007,2026-08-29T18:15:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kevin Gausman,CHC,4,-1140,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kevin Gausman,CHC,5,-433,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kevin Gausman,CHC,6,-189,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kevin Gausman,CHC,7,+108,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kevin Gausman,CHC,8,+215,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kevin Gausman,CHC,9,+440,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kevin Gausman,CHC,10,+890,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kevin Gausman,CHC,11,+1680,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Andrew Abbott,CIN,2,-1120,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Andrew Abbott,CIN,3,-333,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Andrew Abbott,CIN,4,-129,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Andrew Abbott,CIN,5,+178,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Andrew Abbott,CIN,6,+393,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Andrew Abbott,CIN,7,+870,34586008,2026-08-29T18:20:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jose Soriano,TOR,3,-1200,34586009,2026-08-29T19:07:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jose Soriano,TOR,4,-433,34586009,2026-08-29T19:07:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jose Soriano,TOR,5,-191,34586009,2026-08-29T19:07:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jose Soriano,TOR,6,+111,34586009,2026-08-29T19:07:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jose Soriano,TOR,7,+226,34586009,2026-08-29T19:07:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jose Soriano,TOR,8,+460,34586009,2026-08-29T19:07:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Jose Soriano,TOR,9,+950,34586009,2026-08-29T19:07:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kade Anderson,SEA,2,-3100,34586009,2026-08-29T19:07:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kade Anderson,SEA,3,-660,34586009,2026-08-29T19:07:00.0000000Z
2026-08-29T16:16:16.771091+00:00,2026-08-29,Kade Anderson,SEA,4,-235,34586009,2026-08-29T19:07:00.0000000Z
