captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-08-31T16:16:27.528730+00:00,2026-08-31,Bryce Elder,ATL,17.5,-109,-122,34594889,2026-08-31T22:05:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Anthony Molina,SF,9.5,-125,-106,34594889,2026-08-31T22:05:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Brady Singer,CIN,17.5,-138,+104,34594890,2026-08-31T22:40:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Michael King,SD,17.5,-138,+104,34594890,2026-08-31T22:40:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Ian Seymour,TB,17.5,-104,-128,34594891,2026-08-31T22:40:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Robert Stock,NYM,14.5,-123,-108,34594891,2026-08-31T22:40:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Payton Tolle,BOS,17.5,-125,-106,34594892,2026-08-31T22:45:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,George Kirby,SEA,17.5,-108,-123,34594892,2026-08-31T22:45:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Ryan Gusto,MIA,15.5,+120,-160,34594893,2026-08-31T22:45:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Will Dion,WSH,11.5,-118,-112,34594893,2026-08-31T22:45:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Clay Holmes,CHC,15.5,-114,-116,34594894,2026-08-31T23:40:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Kyle Harrison,MIL,14.5,-167,+126,34594894,2026-08-31T23:40:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Taj Bradley,MIN,17.5,-135,+102,34594895,2026-08-31T23:40:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Jackson Jobe,DET,14.5,-175,+131,34594895,2026-08-31T23:40:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Jacob deGrom,TEX,17.5,-144,+108,34594897,2026-09-01T00:05:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Gage Jump,OAK,15.5,-128,-103,34594897,2026-09-01T00:05:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Peter Lambert,HOU,16.5,-129,-103,34594901,2026-09-01T00:10:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Anthony Kay,CWS,15.5,+101,-134,34594901,2026-09-01T00:10:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Tanner Gordon,COL,15.5,-116,-114,34594903,2026-09-01T00:40:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Walbert Urena,LAA,15.5,+110,-146,34594908,2026-09-01T01:38:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Elmer Rodriguez,NYY,14.5,-170,+128,34594908,2026-09-01T01:38:00.0000000Z
2026-08-31T16:16:27.528730+00:00,2026-08-31,Aaron Nola,PHI,17.5,-101,-132,34594910,2026-09-01T01:38:00.0000000Z
