captured_at,date,pitcher_name,line,over_odds,under_odds,odds_source
2026-09-05T13:01:15.745086+00:00,2026-09-05,Ryan Gusto,3.5,-154,+120,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Javier Assad,3.5,+108,-138,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Zac Thornton,4.5,-126,-101,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Anthony Molina,3.5,-124,-103,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Zack Wheeler,6.5,-120,-106,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Martin Perez,3.5,-101,-126,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Parker Messick,6.5,+101,-129,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Framber Valdez,3.5,-140,+109,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Dustin May,5.5,+104,-133,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Andrew Abbott,3.5,-132,+104,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Yusei Kikuchi,6.5,+116,-149,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Braxton Ashcraft,6.5,+123,-158,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Sonny Gray,5.5,-135,+105,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Chris Bassitt,4.5,+132,-169,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Jacob deGrom,5.5,-123,-104,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Drew Rasmussen,5.5,-114,-112,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Max Scherzer,3.5,-128,+100,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Seth Lugo,3.5,+110,-140,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Taj Bradley,6.5,-119,-107,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Anthony Kay,3.5,-110,-116,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Brandon Pfaadt,4.5,-103,-123,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Ethan Pecko,3.5,-140,+110,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Robbie Ray,5.5,-112,-113,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Carlos Rodon,5.5,+120,-154,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Matthew Liberatore,5.5,+109,-139,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Mason Adams,3.5,-108,-118,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Tyler Glasnow,7.5,-111,-115,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Cade Cavalli,5.5,+105,-134,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,George Kirby,5.5,+103,-131,live
2026-09-05T13:01:15.745086+00:00,2026-09-05,Jeffrey Springs,3.5,-165,+129,live
