captured_at,date,pitcher_name,line,over_odds,under_odds,odds_source
2026-09-13T13:01:47.768451+00:00,2026-09-13,Jackson Jobe,3.5,-169,+132,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Gabriel Hughes,3.5,-139,+109,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Andrew Painter,4.5,+112,-143,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Grant Holmes,3.5,-103,-123,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Cam Schlittler,7.5,+117,-150,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Christian Scott,5.5,-142,+112,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Grayson Rodriguez,4.5,-132,+104,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Jake Irvin,4.5,-130,+102,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Dylan Cease,8.5,+103,-132,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Trevor Rogers,4.5,-126,-101,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Eury Perez,5.5,+107,-136,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Emmet Sheehan,5.5,+118,-150,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Freddy Peralta,4.5,-157,+123,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Hayden Wesneski,3.5,-102,-124,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Robert Gasser,4.5,-131,+103,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Chase Burns,3.5,-124,-103,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Tanner Bibee,3.5,-163,+128,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Michael McGreevy,3.5,-160,+125,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Matthew Boyd,5.5,-116,-110,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Bubba Chandler,4.5,+130,-166,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Payton Tolle,6.5,+114,-145,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Noah Cameron,5.5,+124,-159,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Jacob Lopez,4.5,-145,+113,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Bryce Miller,4.5,-104,-123,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Eduardo Rodriguez,4.5,-142,+111,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Cal Quantrill,3.5,-155,+121,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Logan Webb,4.5,-140,+109,live
2026-09-13T13:01:47.768451+00:00,2026-09-13,Nick Pivetta,4.5,-122,-105,live
