captured_at,date,event_id,event_name,start_time_utc,home_team,away_team,market,side,line,odds
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589563,MIA Marlins @ WAS Nationals,2026-08-30T16:20:00.0000000Z,WSH,MIA,Moneyline,MIA Marlins,,+108
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589563,MIA Marlins @ WAS Nationals,2026-08-30T16:20:00.0000000Z,WSH,MIA,Moneyline,WAS Nationals,,-116
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589563,MIA Marlins @ WAS Nationals,2026-08-30T16:20:00.0000000Z,WSH,MIA,Run Line,MIA Marlins,-1.5,+161
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589563,MIA Marlins @ WAS Nationals,2026-08-30T16:20:00.0000000Z,WSH,MIA,Run Line,WAS Nationals,1.5,-196
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589563,MIA Marlins @ WAS Nationals,2026-08-30T16:20:00.0000000Z,WSH,MIA,Total,Over,9.5,+101
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589563,MIA Marlins @ WAS Nationals,2026-08-30T16:20:00.0000000Z,WSH,MIA,Total,Under,9.5,-122
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589564,COL Rockies @ ATL Braves,2026-08-30T17:35:00.0000000Z,ATL,COL,Moneyline,COL Rockies,,+217
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589564,COL Rockies @ ATL Braves,2026-08-30T17:35:00.0000000Z,ATL,COL,Moneyline,ATL Braves,,-235
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589564,COL Rockies @ ATL Braves,2026-08-30T17:35:00.0000000Z,ATL,COL,Run Line,COL Rockies,1.5,-105
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589564,COL Rockies @ ATL Braves,2026-08-30T17:35:00.0000000Z,ATL,COL,Run Line,ATL Braves,-1.5,-115
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589564,COL Rockies @ ATL Braves,2026-08-30T17:35:00.0000000Z,ATL,COL,Total,Over,8.5,-107
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589564,COL Rockies @ ATL Braves,2026-08-30T17:35:00.0000000Z,ATL,COL,Total,Under,8.5,-113
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589565,BOS Red Sox @ NY Yankees,2026-08-30T17:35:00.0000000Z,NYY,BOS,Moneyline,BOS Red Sox,,-141
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589565,BOS Red Sox @ NY Yankees,2026-08-30T17:35:00.0000000Z,NYY,BOS,Moneyline,NY Yankees,,+131
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589565,BOS Red Sox @ NY Yankees,2026-08-30T17:35:00.0000000Z,NYY,BOS,Run Line,BOS Red Sox,-1.5,+119
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589565,BOS Red Sox @ NY Yankees,2026-08-30T17:35:00.0000000Z,NYY,BOS,Run Line,NY Yankees,1.5,-144
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589565,BOS Red Sox @ NY Yankees,2026-08-30T17:35:00.0000000Z,NYY,BOS,Total,Over,8,-110
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589565,BOS Red Sox @ NY Yankees,2026-08-30T17:35:00.0000000Z,NYY,BOS,Total,Under,8,-110
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589566,SEA Mariners @ TOR Blue Jays,2026-08-30T17:37:00.0000000Z,TOR,SEA,Moneyline,SEA Mariners,,-129
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589566,SEA Mariners @ TOR Blue Jays,2026-08-30T17:37:00.0000000Z,TOR,SEA,Moneyline,TOR Blue Jays,,+121
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589566,SEA Mariners @ TOR Blue Jays,2026-08-30T17:37:00.0000000Z,TOR,SEA,Run Line,SEA Mariners,-1.5,+128
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589566,SEA Mariners @ TOR Blue Jays,2026-08-30T17:37:00.0000000Z,TOR,SEA,Run Line,TOR Blue Jays,1.5,-154
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589566,SEA Mariners @ TOR Blue Jays,2026-08-30T17:37:00.0000000Z,TOR,SEA,Total,Over,8,-108
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589566,SEA Mariners @ TOR Blue Jays,2026-08-30T17:37:00.0000000Z,TOR,SEA,Total,Under,8,-112
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589567,KC Royals @ CLE Guardians,2026-08-30T17:40:00.0000000Z,CLE,KC,Moneyline,KC Royals,,+168
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589567,KC Royals @ CLE Guardians,2026-08-30T17:40:00.0000000Z,CLE,KC,Moneyline,CLE Guardians,,-181
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589567,KC Royals @ CLE Guardians,2026-08-30T17:40:00.0000000Z,CLE,KC,Run Line,KC Royals,1.5,-136
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589567,KC Royals @ CLE Guardians,2026-08-30T17:40:00.0000000Z,CLE,KC,Run Line,CLE Guardians,-1.5,+113
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589567,KC Royals @ CLE Guardians,2026-08-30T17:40:00.0000000Z,CLE,KC,Total,Over,7.5,-103
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589567,KC Royals @ CLE Guardians,2026-08-30T17:40:00.0000000Z,CLE,KC,Total,Under,7.5,-117
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589568,LA Dodgers @ DET Tigers,2026-08-30T17:40:00.0000000Z,DET,LAD,Moneyline,LA Dodgers,,-154
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589568,LA Dodgers @ DET Tigers,2026-08-30T17:40:00.0000000Z,DET,LAD,Moneyline,DET Tigers,,+143
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589568,LA Dodgers @ DET Tigers,2026-08-30T17:40:00.0000000Z,DET,LAD,Run Line,LA Dodgers,-1.5,+109
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589568,LA Dodgers @ DET Tigers,2026-08-30T17:40:00.0000000Z,DET,LAD,Run Line,DET Tigers,1.5,-131
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589568,LA Dodgers @ DET Tigers,2026-08-30T17:40:00.0000000Z,DET,LAD,Total,Over,7.5,+100
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589568,LA Dodgers @ DET Tigers,2026-08-30T17:40:00.0000000Z,DET,LAD,Total,Under,7.5,-120
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589569,SD Padres @ TB Rays,2026-08-30T17:40:00.0000000Z,TB,SD,Moneyline,SD Padres,,+148
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589569,SD Padres @ TB Rays,2026-08-30T17:40:00.0000000Z,TB,SD,Moneyline,TB Rays,,-159
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589569,SD Padres @ TB Rays,2026-08-30T17:40:00.0000000Z,TB,SD,Run Line,SD Padres,1.5,-157
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589569,SD Padres @ TB Rays,2026-08-30T17:40:00.0000000Z,TB,SD,Run Line,TB Rays,-1.5,+130
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589569,SD Padres @ TB Rays,2026-08-30T17:40:00.0000000Z,TB,SD,Total,Over,7,-116
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589569,SD Padres @ TB Rays,2026-08-30T17:40:00.0000000Z,TB,SD,Total,Under,7,-104
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589570,TEX Rangers @ MIL Brewers,2026-08-30T18:10:00.0000000Z,MIL,TEX,Moneyline,TEX Rangers,,+144
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589570,TEX Rangers @ MIL Brewers,2026-08-30T18:10:00.0000000Z,MIL,TEX,Moneyline,MIL Brewers,,-155
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589570,TEX Rangers @ MIL Brewers,2026-08-30T18:10:00.0000000Z,MIL,TEX,Run Line,TEX Rangers,1.5,-149
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589570,TEX Rangers @ MIL Brewers,2026-08-30T18:10:00.0000000Z,MIL,TEX,Run Line,MIL Brewers,-1.5,+123
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589570,TEX Rangers @ MIL Brewers,2026-08-30T18:10:00.0000000Z,MIL,TEX,Total,Over,8.5,-110
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589570,TEX Rangers @ MIL Brewers,2026-08-30T18:10:00.0000000Z,MIL,TEX,Total,Under,8.5,-110
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589571,CHI White Sox @ MIN Twins,2026-08-30T18:10:00.0000000Z,MIN,CWS,Moneyline,CHI White Sox,,+106
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589571,CHI White Sox @ MIN Twins,2026-08-30T18:10:00.0000000Z,MIN,CWS,Moneyline,MIN Twins,,-114
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589571,CHI White Sox @ MIN Twins,2026-08-30T18:10:00.0000000Z,MIN,CWS,Run Line,CHI White Sox,1.5,-198
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589571,CHI White Sox @ MIN Twins,2026-08-30T18:10:00.0000000Z,MIN,CWS,Run Line,MIN Twins,-1.5,+162
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589571,CHI White Sox @ MIN Twins,2026-08-30T18:10:00.0000000Z,MIN,CWS,Total,Over,8.5,-117
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589571,CHI White Sox @ MIN Twins,2026-08-30T18:10:00.0000000Z,MIN,CWS,Total,Under,8.5,-103
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589572,PIT Pirates @ STL Cardinals,2026-08-30T18:15:00.0000000Z,STL,PIT,Moneyline,PIT Pirates,,-119
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589572,PIT Pirates @ STL Cardinals,2026-08-30T18:15:00.0000000Z,STL,PIT,Moneyline,STL Cardinals,,+111
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589572,PIT Pirates @ STL Cardinals,2026-08-30T18:15:00.0000000Z,STL,PIT,Run Line,PIT Pirates,-1.5,+134
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589572,PIT Pirates @ STL Cardinals,2026-08-30T18:15:00.0000000Z,STL,PIT,Run Line,STL Cardinals,1.5,-162
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589572,PIT Pirates @ STL Cardinals,2026-08-30T18:15:00.0000000Z,STL,PIT,Total,Over,7.5,-117
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589572,PIT Pirates @ STL Cardinals,2026-08-30T18:15:00.0000000Z,STL,PIT,Total,Under,7.5,-103
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589573,HOU Astros @ NY Mets,2026-08-30T19:10:00.0000000Z,NYM,HOU,Moneyline,HOU Astros,,+110
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589573,HOU Astros @ NY Mets,2026-08-30T19:10:00.0000000Z,NYM,HOU,Moneyline,NY Mets,,-118
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589573,HOU Astros @ NY Mets,2026-08-30T19:10:00.0000000Z,NYM,HOU,Run Line,HOU Astros,1.5,-198
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589573,HOU Astros @ NY Mets,2026-08-30T19:10:00.0000000Z,NYM,HOU,Run Line,NY Mets,-1.5,+162
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589573,HOU Astros @ NY Mets,2026-08-30T19:10:00.0000000Z,NYM,HOU,Total,Over,9,-107
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589573,HOU Astros @ NY Mets,2026-08-30T19:10:00.0000000Z,NYM,HOU,Total,Under,9,-113
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589574,BAL Orioles @ Athletics,2026-08-30T20:05:00.0000000Z,OAK,BAL,Moneyline,BAL Orioles,,-142
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589574,BAL Orioles @ Athletics,2026-08-30T20:05:00.0000000Z,OAK,BAL,Moneyline,Athletics,,+132
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589574,BAL Orioles @ Athletics,2026-08-30T20:05:00.0000000Z,OAK,BAL,Run Line,BAL Orioles,-1.5,+102
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589574,BAL Orioles @ Athletics,2026-08-30T20:05:00.0000000Z,OAK,BAL,Run Line,Athletics,1.5,-122
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589574,BAL Orioles @ Athletics,2026-08-30T20:05:00.0000000Z,OAK,BAL,Total,Over,10,-115
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589574,BAL Orioles @ Athletics,2026-08-30T20:05:00.0000000Z,OAK,BAL,Total,Under,10,-105
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589575,PHI Phillies @ LA Angels,2026-08-30T20:07:00.0000000Z,LAA,PHI,Moneyline,PHI Phillies,,-168
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589575,PHI Phillies @ LA Angels,2026-08-30T20:07:00.0000000Z,LAA,PHI,Moneyline,LA Angels,,+157
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589575,PHI Phillies @ LA Angels,2026-08-30T20:07:00.0000000Z,LAA,PHI,Run Line,PHI Phillies,-1.5,-103
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589575,PHI Phillies @ LA Angels,2026-08-30T20:07:00.0000000Z,LAA,PHI,Run Line,LA Angels,1.5,-117
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589575,PHI Phillies @ LA Angels,2026-08-30T20:07:00.0000000Z,LAA,PHI,Total,Over,7.5,-113
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589575,PHI Phillies @ LA Angels,2026-08-30T20:07:00.0000000Z,LAA,PHI,Total,Under,7.5,-106
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589576,CIN Reds @ CHI Cubs,2026-08-30T23:20:00.0000000Z,CHC,CIN,Moneyline,CIN Reds,,+143
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589576,CIN Reds @ CHI Cubs,2026-08-30T23:20:00.0000000Z,CHC,CIN,Moneyline,CHI Cubs,,-154
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589576,CIN Reds @ CHI Cubs,2026-08-30T23:20:00.0000000Z,CHC,CIN,Run Line,CIN Reds,1.5,-149
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589576,CIN Reds @ CHI Cubs,2026-08-30T23:20:00.0000000Z,CHC,CIN,Run Line,CHI Cubs,-1.5,+124
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589576,CIN Reds @ CHI Cubs,2026-08-30T23:20:00.0000000Z,CHC,CIN,Total,Over,9,-120
2026-08-30T16:16:01.101838+00:00,2026-08-30,34589576,CIN Reds @ CHI Cubs,2026-08-30T23:20:00.0000000Z,CHC,CIN,Total,Under,9,+100
