captured_at,date,pitcher_name,team,milestone,odds,event_id,start_time_utc
2026-08-10T16:16:07.734213+00:00,2026-08-10,Sonny Gray,BOS,2,-3300,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Sonny Gray,BOS,3,-700,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Sonny Gray,BOS,4,-252,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Sonny Gray,BOS,5,-110,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Sonny Gray,BOS,6,+193,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Sonny Gray,BOS,7,+414,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Sonny Gray,BOS,8,+860,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Sonny Gray,BOS,9,+1740,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Jameson Taillon,TOR,2,-2500,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Jameson Taillon,TOR,3,-575,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Jameson Taillon,TOR,4,-213,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Jameson Taillon,TOR,5,+108,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Jameson Taillon,TOR,6,+236,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Jameson Taillon,TOR,7,+516,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Jameson Taillon,TOR,8,+1080,34500279,2026-08-10T23:07:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Christian Scott,NYM,3,-1980,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Christian Scott,NYM,4,-571,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Christian Scott,NYM,5,-226,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Christian Scott,NYM,6,-103,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Christian Scott,NYM,7,+205,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Christian Scott,NYM,8,+427,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Christian Scott,NYM,9,+910,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Christian Scott,NYM,10,+1760,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Bryce Elder,ATL,2,-3200,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Bryce Elder,ATL,3,-680,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Bryce Elder,ATL,4,-241,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Bryce Elder,ATL,5,-101,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Bryce Elder,ATL,6,+216,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Bryce Elder,ATL,7,+460,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Bryce Elder,ATL,8,+980,34500280,2026-08-10T23:15:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Dean Kremer,MIN,3,-1740,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Dean Kremer,MIN,4,-515,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Dean Kremer,MIN,5,-211,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Dean Kremer,MIN,6,+103,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Dean Kremer,MIN,7,+216,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Dean Kremer,MIN,8,+450,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Dean Kremer,MIN,9,+950,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Trevor Rogers,BAL,3,-1180,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Trevor Rogers,BAL,4,-386,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Trevor Rogers,BAL,5,-161,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Trevor Rogers,BAL,6,+135,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Trevor Rogers,BAL,7,+277,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Trevor Rogers,BAL,8,+599,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Trevor Rogers,BAL,9,+1220,34500281,2026-08-10T23:40:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Andrew Painter,PHI,2,-830,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Andrew Painter,PHI,3,-247,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Andrew Painter,PHI,4,+108,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Andrew Painter,PHI,5,+255,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Andrew Painter,PHI,6,+592,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Andrew Painter,PHI,7,+1300,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Hunter Dobbins,STL,2,-790,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Hunter Dobbins,STL,3,-231,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Hunter Dobbins,STL,4,+112,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Hunter Dobbins,STL,5,+266,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Hunter Dobbins,STL,6,+610,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Hunter Dobbins,STL,7,+1380,34500283,2026-08-10T23:45:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Reid Detmers,LAA,4,-2200,34500284,2026-08-11T01:38:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Reid Detmers,LAA,5,-710,34500284,2026-08-11T01:38:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Reid Detmers,LAA,6,-305,34500284,2026-08-11T01:38:00.0000000Z
2026-08-10T16:16:07.734213+00:00,2026-08-10,Reid Detmers,LAA,7,-150,34500284,2026-08-11T01:38:00.0000000Z
